method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,requirements_total,requirements_with_ground_truth,ground_truth_links_total,correctly_retrieved_links,requirement_hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,1,30,30,137,9,0.3,0.3,0.2261904761904762,0.2414814814814815,0.3,0.3
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,1,30,7,32,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,1,30,30,105,9,0.3,0.3,0.2261904761904762,0.2414814814814815,0.3,0.3
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,1,30,30,200,6,0.2,0.2,0.08429487179487179,0.10899470899470899,0.2,0.2
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,1,30,30,243,6,0.2,0.2,0.07179487179487179,0.09417989417989417,0.2,0.2
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,1,30,30,106,3,0.1,0.1,0.02888888888888889,0.04285714285714285,0.1,0.1
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,1,30,27,83,2,0.07407407407407407,0.07407407407407407,0.025925925925925925,0.037037037037037035,0.07407407407407407,0.07407407407407407
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,1,30,30,63,2,0.06666666666666667,0.06666666666666667,0.02222222222222222,0.031746031746031744,0.06666666666666667,0.06666666666666667
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,5,30,30,137,23,0.5666666666666667,0.15333333333333335,0.4754279054279055,0.21057290650714872,0.27344444444444443,0.3794444444444444
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,5,30,7,32,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,5,30,30,105,23,0.5666666666666667,0.15333333333333335,0.4754279054279055,0.21057290650714872,0.27344444444444443,0.3794444444444444
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,5,30,30,200,23,0.4666666666666667,0.15333333333333335,0.25608974358974357,0.16992459418864414,0.143,0.28944444444444445
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,5,30,30,243,23,0.4666666666666667,0.15333333333333335,0.22720085470085472,0.1601708294348794,0.12605555555555556,0.28944444444444445
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,5,30,30,106,26,0.7,0.17333333333333334,0.3961904761904762,0.21844877344877345,0.1795925925925926,0.28944444444444445
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,5,30,27,83,14,0.4074074074074074,0.10370370370370371,0.32160493827160497,0.14553203997648442,0.1534979423868313,0.18580246913580248
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,5,30,30,63,24,0.7,0.16,0.5027777777777778,0.22867965367965368,0.20009259259259257,0.2672222222222222
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,10,30,30,137,28,0.5666666666666667,0.09333333333333334,0.5327938727938728,0.15034138822993312,0.2792222222222222,0.3794444444444444
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,10,30,7,32,0,0.0,0.0,0.0,0.0,0.0,0.0
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,10,30,30,105,28,0.5666666666666667,0.09333333333333334,0.5327938727938728,0.15034138822993312,0.2792222222222222,0.3794444444444444
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,10,30,30,200,38,0.6333333333333333,0.12666666666666668,0.4128357753357753,0.18001505792143238,0.15253185626102292,0.3123941798941799
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,30,30,243,38,0.6333333333333333,0.12666666666666668,0.37394688644688645,0.17331620122257568,0.13002292768959436,0.3123941798941799
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,10,30,30,106,43,0.8,0.14333333333333334,0.6001587301587301,0.21500445632798573,0.23037037037037036,0.30388888888888893
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,10,30,27,83,26,0.7037037037037037,0.0962962962962963,0.5006172839506172,0.1539503706170373,0.18617234959827553,0.23065843621399176
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,10,30,30,63,37,0.8,0.12333333333333334,0.7138888888888889,0.20033855033855033,0.2511243386243386,0.2816666666666666
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,20,30,30,137,47,0.8666666666666667,0.07833333333333334,0.7745454545454545,0.13494704357066883,0.2910500557616141,0.3996836170365582
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,20,30,7,32,7,1.0,0.05,0.819047619047619,0.094125091897224,0.019673202614379083,0.06554621848739496
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,20,30,30,105,46,0.8666666666666667,0.07666666666666667,0.7676190476190476,0.13300358687856456,0.2934389844761362,0.3996836170365582
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,20,30,30,200,62,0.8666666666666667,0.10333333333333333,0.6607315832315833,0.1727032371575016,0.16845568042179362,0.3252596769702033
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,20,30,30,243,66,0.8666666666666667,0.11000000000000001,0.5980199430199431,0.17835708846512874,0.14560159947601592,0.3254660753190165
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,20,30,30,106,51,0.8666666666666667,0.08499999999999999,0.6715873015873016,0.14098853196343475,0.24407977207977208,0.30874999999999997
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,20,30,27,83,32,0.7777777777777778,0.05925925925925926,0.5719680464778504,0.10125458995024213,0.19670781993766742,0.23711185933408155
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,20,30,30,63,41,0.8333333333333334,0.06833333333333334,0.7666666666666667,0.12126955170433432,0.26107480482480483,0.28375
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,30,30,30,137,53,0.9,0.058888888888888886,0.8200000000000001,0.10480680471142871,0.29791928446878746,0.40127091862385983
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,30,30,7,32,7,1.0,0.03333333333333333,0.819047619047619,0.06400234072123473,0.019673202614379083,0.06554621848739496
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,30,30,30,105,52,0.9,0.05777777777777778,0.8142857142857143,0.10347011990750131,0.3001701940877806,0.40127091862385983
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,30,30,30,200,75,0.8666666666666667,0.08333333333333333,0.7139173789173789,0.1456347255361305,0.1763352389284424,0.3252596769702033
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,30,30,30,243,85,0.9,0.09444444444444446,0.66310057997558,0.1585339698616062,0.15613630476824628,0.3269153506813353
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,30,30,30,106,55,0.8666666666666667,0.06111111111111111,0.6811111111111111,0.10498945250605593,0.24539302686041817,0.30874999999999997
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,30,30,27,83,35,0.8148148148148148,0.04320987654320988,0.5824981844589687,0.07586571396373971,0.19778331869716734,0.2383464272353161
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,30,30,30,63,44,0.8666666666666667,0.048888888888888885,0.7777777777777778,0.08903846522442348,0.26202817914774434,0.2852651515151515
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,40,30,30,137,57,0.9,0.0475,0.839047619047619,0.0864355344549387,0.300386331893818,0.40127091862385983
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,40,30,7,32,7,1.0,0.025,0.819047619047619,0.048485866176139474,0.019673202614379083,0.06554621848739496
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,40,30,30,105,56,0.9,0.04666666666666667,0.8333333333333334,0.08531543518057573,0.3026372415128112,0.40127091862385983
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,40,30,30,200,84,0.9,0.07,0.7484045584045584,0.12395358547066497,0.17982315479561525,0.32626977798030427
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,40,30,30,243,94,0.9,0.07833333333333334,0.6957127594627595,0.13430447468589585,0.15977402037449315,0.3269153506813353
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,40,30,30,106,65,0.8666666666666667,0.05416666666666667,0.7319047619047618,0.0948572829352245,0.2513578481461259,0.30874999999999997
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,40,30,27,83,43,0.8148148148148148,0.03981481481481481,0.6402323892519971,0.07133076991411699,0.20331436415986645,0.2383464272353161
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,40,30,30,63,47,0.8666666666666667,0.03916666666666667,0.788888888888889,0.0723356522534237,0.2635364657635579,0.2852651515151515
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_all,50,30,30,137,57,0.9,0.038000000000000006,0.839047619047619,0.07037054218945694,0.300386331893818,0.40127091862385983
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_orphan,50,30,7,32,7,1.0,0.02,0.819047619047619,0.039024920884764044,0.019673202614379083,0.06554621848739496
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,actions_with_linked_widget,50,30,30,105,56,0.9,0.037333333333333336,0.8333333333333334,0.06940828688392069,0.3026372415128112,0.40127091862385983
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_linked_widgets,50,30,30,200,89,0.9,0.059333333333333335,0.770968660968661,0.10683330089673221,0.18198052197623824,0.32626977798030427
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,50,30,30,243,102,0.9,0.068,0.729063899063899,0.11889391546454824,0.16296294093691013,0.3269153506813353
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_all_resolved,50,30,30,106,71,0.8666666666666667,0.04733333333333333,0.7541269841269841,0.08423197481059225,0.25455803270438515,0.30874999999999997
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_functional_resolved,50,30,27,83,49,0.8148148148148148,0.0362962962962963,0.6692810457516339,0.06569897291072523,0.20664094850930995,0.2383464272353161
VSM,IR,Strict,Focus,GPT5,Focus-GPT5,widgets_linked_resolved,50,30,30,63,49,0.8666666666666667,0.03266666666666666,0.7962962962962963,0.06099849533855692,0.26487427279242176,0.2852651515151515
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_all,1,30,27,196,9,0.3333333333333333,0.3333333333333333,0.2631868131868132,0.2856073967185078,0.3333333333333333,0.3333333333333333
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_orphan,1,30,7,13,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
