direction,method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k,hit_at_k
forward,VSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.12666666666666668,0.37394688644688645,0.17331620122257568,0.13002292768959436,0.3123941798941799,0.6333333333333333
forward,VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.07,0.2883685867509397,0.1062710556158622,0.09011992945326279,0.25972222222222224,0.43333333333333335
forward,VSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.1111111111111111,0.3431496743996744,0.14407390652459515,0.11567547801013409,0.2646604938271605,0.5555555555555556
forward,VSM,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.13611111111111113,0.3865620667458903,0.16793819314501426,0.1494820142563198,0.2693231922398589,0.5833333333333334
forward,VSM,IR,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.12333333333333334,0.3382061457061457,0.16459500956020753,0.11357473544973544,0.23239417989417988,0.5333333333333333
forward,VSM,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.09000000000000001,0.31127163685987214,0.128279968678996,0.10270135214579659,0.26157407407407407,0.4666666666666667
forward,VSM,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.12222222222222223,0.3350130579297246,0.1477604471469286,0.1306229178914364,0.26049382716049385,0.5277777777777778
forward,VSM,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.10277777777777779,0.29953495034377386,0.12620569492922792,0.10630704365079363,0.21808862433862433,0.4444444444444444
forward,LSI,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.15,0.4324623524623525,0.20014165941265408,0.12026278659611993,0.27095238095238094,0.7333333333333333
forward,LSI,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.07666666666666667,0.27434419811354793,0.10187915777290105,0.0660462962962963,0.1313888888888889,0.5
forward,LSI,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.07500000000000001,0.13215388007054674,0.07400659769080822,0.06990942827748384,0.12804232804232804,0.3888888888888889
forward,LSI,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.08055555555555556,0.2233387445887446,0.09026642816965398,0.08459986772486772,0.12646604938271605,0.4166666666666667
forward,LSI,IR,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.09000000000000001,0.218497150997151,0.1151978073497061,0.06581382275132275,0.17781746031746032,0.43333333333333335
forward,LSI,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.05,0.15596456869370687,0.05865059394175869,0.05656701940035273,0.11285714285714285,0.4
forward,LSI,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.07777777777777778,0.1215002204585538,0.07294376590042224,0.05630763416477702,0.11919091710758378,0.4166666666666667
forward,LSI,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.06666666666666667,0.14152988215488216,0.06273263773263774,0.07450121252204585,0.1245701058201058,0.3055555555555556
forward,JSM,IR,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.12666666666666668,0.32583842083842085,0.158655306561681,0.11305026455026454,0.3431349206349206,0.6333333333333333
forward,JSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.09000000000000001,0.29904574133370304,0.12165892378407393,0.08315255731922398,0.2968518518518518,0.5333333333333333
forward,JSM,IR,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.11388888888888887,0.33241715845882513,0.14044932968256976,0.1352656525573192,0.29444444444444445,0.5277777777777778
forward,JSM,IR,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.1111111111111111,0.32471915692660375,0.135243003568397,0.126590057319224,0.37433862433862436,0.5555555555555556
forward,JSM,IR,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.11333333333333333,0.31734635734635736,0.15217789508426952,0.10141369047619048,0.29291005291005295,0.5666666666666667
forward,JSM,IR,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.09666666666666666,0.3060140671255582,0.1301986178647775,0.0892821869488536,0.31407407407407406,0.5
forward,JSM,IR,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.1277777777777778,0.3522628374711708,0.15542979555312852,0.1441148589065256,0.3212962962962963,0.5555555555555556
forward,JSM,IR,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.08333333333333333,0.27964879781369145,0.10753244832192202,0.09358796296296296,0.34351851851851856,0.5277777777777778
forward,Qwen3 0.6B,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.18333333333333332,0.45821886446886445,0.24125070953444142,0.1739488536155203,0.4988888888888889,0.7666666666666667
forward,Qwen3 0.6B,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.12333333333333334,0.4013200457366704,0.17527302125911734,0.10116931216931217,0.4814814814814815,0.7
forward,Qwen3 0.6B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.10555555555555557,0.30006995319495317,0.13298957594833924,0.10910469331765628,0.29305555555555557,0.6111111111111112
forward,Qwen3 0.6B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.11944444444444444,0.40438429081811433,0.17137888078924915,0.09645566945914169,0.3265432098765432,0.7222222222222222
forward,Qwen3 0.6B,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.16666666666666666,0.4182188644688645,0.21950467778840965,0.16803703703703704,0.49916666666666665,0.7
